nombre	marca	tienda	pais	alergenos	additivos	puntuacion_nova	image_url	image_small_url	calorias	energia	grasa	grasas_saturadas	colesterol	carbohidratos	azucares	fibra	proteinas	sal	sodio	calcio	hierro	puntuacion
Pizza margarita	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/064/4367/front_es.34.400.jpg	https://images.openfoodfacts.org/images/products/848/000/064/4367/front_es.34.200.jpg	272	1138	17	11		26	23		3.7	0.3	0.12			19
Fideo integral	Hacendado	Mercadona	España	en:eggs		1	https://images.openfoodfacts.org/images/products/848/000/006/1539/front_es.32.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/1539/front_es.32.200.jpg	290	1228	3.2	1		54	1	2.6	11	0.07	0.028			-4
Sémola de arroz	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/007/8636/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/848/000/007/8636/front_es.6.200.jpg	354	1501	1.5	0.4		71	3.5	3.2	12.5	0.01	0.004			-4
Fideo cabello	Hacendado	Mercadona	España	en:gluten		4	https://images.openfoodfacts.org/images/products/848/000/006/3229/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/3229/front_es.31.200.jpg	354	1499	1.5	0.3		72	3.5	4	11	0.08	0.032			-5
Gyozas Verduras	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/039/6655/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/6655/front_es.3.200.jpg	23	96	0	0		4.8	3.5		0.3	0	0			7
Queso fesco sin lactosa	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/006/3021/front_es.117.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/3021/front_es.117.200.jpg	359	1514	3.3	1		68	3.5	4	12	0.08	0.032			-5
Leche sin Lactosa	Hacendado		España				https://images.openfoodfacts.org/images/products/07815548/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/07815548/front_es.3.200.jpg	14	59	0	0		4.4	2.4		0.4	0	0			4
Finas Hierbas	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/006/3670/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/3670/front_es.10.200.jpg	358	1514	3.3	1		68	3.5	4	12	0.08	0.032			-5
Aceitunas negras sin hueso	Hacendado	Mercadona	España	en:gluten,en:nuts,es:Pan rallado		3	https://images.openfoodfacts.org/images/products/848/000/039/9045/front_es.27.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/9045/front_es.27.200.jpg	98	410	8.5	0.9		2.6	0.4	1.4	2.1	0.9	0.36			2
Lenteja pelada	Hacendado	Mercadona	España	en:milk	en:e202,en:e412,en:e440,en:e950,en:e955	4	https://images.openfoodfacts.org/images/products/848/000/020/8804/front_es.45.400.jpg	https://images.openfoodfacts.org/images/products/848/000/020/8804/front_es.45.200.jpg	31	130	0.1	0		4.2	4.1		3.2	0.1	0.04			-1
Lenteja rápida	Hacendado		España	en:gluten	en:e120,en:e202,en:e270,en:e325,en:e330,en:e331,en:e471,en:e901,en:e903,en:e904	4	https://images.openfoodfacts.org/images/products/848/000/065/0443/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/065/0443/front_es.4.200.jpg	351	1469	1.3	0.7		83	48		1.8	0.35	0.14			15
Lenteja pardina	hacendado		Francia,España			4	https://images.openfoodfacts.org/images/products/848/000/061/3639/front_en.18.400.jpg	https://images.openfoodfacts.org/images/products/848/000/061/3639/front_en.18.200.jpg	53.5	224	2.3	0.29		5.3	4.7	2.4	1.7	0.73	0.292			1
Cereales y semillas	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/063/5976/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/848/000/063/5976/front_es.7.200.jpg	234	979	6.3	3.1		35.7	1.7		8.7	1.2	0.48			5
Zumo piña y uva	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/0021/front_es.73.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/0021/front_es.73.200.jpg	355	1508	0.6	0.2		78	0.5		9	0	0			-1
Te sabor limón cero	Hacendado		España			3	https://images.openfoodfacts.org/images/products/848/000/009/5718/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/848/000/009/5718/front_es.7.200.jpg	364	1523	2.7	0.2		66	1.9		14.6	0.78	0.312			2
Alubia granja	Hacendado		Francia,España			1	https://images.openfoodfacts.org/images/products/848/000/034/1020/front_es.16.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/1020/front_es.16.200.jpg														
Alubia pinta	Hacendado	Hacendado	España				https://images.openfoodfacts.org/images/products/848/000/011/7779/front_es.53.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/7779/front_es.53.200.jpg	6	25	13	5.8		15	0.9		15	0	0			
Alubia roja	Hacendado		España		en:e330,en:e500,en:e500i,en:e502,en:e965	4	https://images.openfoodfacts.org/images/products/848/000/014/2009/front_en.30.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/2009/front_en.30.200.jpg	483	2021	20	1.8		65	0.42		7.1	0.9	0.36			6
Alubia negra	Hacendado		es				https://images.openfoodfacts.org/images/products/56567465/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/56567465/front_es.3.200.jpg														
Alubia con verduras	Hacendado	Mercadona	España	en:gluten		1	https://images.openfoodfacts.org/images/products/848/000/006/2772/front_es.18.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/2772/front_es.18.200.jpg	354	1499	1.5	0.3		72	3.5	4	11	0.08	0.032			-5
Miel de castaño y brezo	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/006/5957/front_es.37.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/5957/front_es.37.200.jpg	347	1469	1.9	0.4		67	3.2	7	12	0.05	0.02			-6
Salsa Mexicana	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/006/2468/front_es.25.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/2468/front_es.25.200.jpg	354	1499	1.5	0.3		72	3.5	4	11	0.08	0.032			-5
Havarti light	Hacendado	Mercadona	España	en:gluten		1	https://images.openfoodfacts.org/images/products/848/000/006/2680/front_es.19.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/2680/front_es.19.200.jpg	354	1501	1.3	0.3		72.2	3.2	2.7	12	0.005	0.002			-3
Zumo de melocotón	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/4026/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/4026/front_es.3.200.jpg														
Trigo espelta	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/011/4334/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/4334/front_es.15.200.jpg	1	4	0	0		0.3	0		0	0	0			0
Té earl grey	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/034/1174/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/1174/front_es.15.200.jpg	0	0												
Bebida de chufa	hacendado		España				https://images.openfoodfacts.org/images/products/235/094/400/3673/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/094/400/3673/front_es.3.200.jpg	421	1761	35	25		1.6	0.5		25	1.7	0.68			
Longaniza	Hacendado		España				https://images.openfoodfacts.org/images/products/15945655/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/15945655/front_es.3.200.jpg	401	1678	6.3	1.9		79	39		7.1	0.2	0.08			
Salchicha estilo bratwurst	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/011/1692/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/1692/front_es.3.200.jpg	36	151	13	5.9		14	1.7		17					
Quinoa blanca y roja	Hacendado	Mercadona	España	en:celery	en:e300,en:e330	3	https://images.openfoodfacts.org/images/products/848/000/016/7491/front_es.26.400.jpg	https://images.openfoodfacts.org/images/products/848/000/016/7491/front_es.26.200.jpg	134	561	0.5	0.1		6.7	2.1	0.5	0.6	1.3	0.52			1
Garbanzo pedrosillano	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/006/3717/front_es.40.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/3717/front_es.40.200.jpg	353	1495	1.4	0.3		72.2	3.9	3.2	11.2	0.025	0.01			-4
Garbanzo lechoso	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/6082/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6082/front_es.3.200.jpg	385	1611	1.5	0.4		82	15		8.1	0.66	0.264			
Galletas jengibre	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/6006/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6006/front_es.3.200.jpg	407	1703	6.1	5.7		81.7	59.6		6.3	0.98	0.392			
Roditas	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/013/5971/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/5971/front_es.3.200.jpg	447	1870	14	2		72	1		6	1.8	0.72			
Miel de romero	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/010/4991/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/4991/front_es.3.200.jpg	62	259	3.6	2.4		4.5	4.5		3	0.13	0.052			
Queso havarti en lonchas light	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/7454/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/7454/front_es.3.200.jpg	137	573	4.8	1.8		15	2.6		8	1.1	0.44			
Capsula cafe classic	Hacendado		es				https://images.openfoodfacts.org/images/products/51181/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/51181/front_es.3.200.jpg	218	912	18	12		1	0		13	1.1	0.44			
Melocotón light	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/5368/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/5368/front_es.3.200.jpg	181	757	7.2	0.9		22	2.6		5.9	1.4	0.56			
Café molido variedad caracolillo	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/6587/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6587/front_es.3.200.jpg	72	301	1.7	1.1		11.1	11.1		2.8	0.1	0.04			
Copos trigo espelta	Hacendado		es				https://images.openfoodfacts.org/images/products/748/004/665/8428/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/748/004/665/8428/front_es.3.200.jpg	1440	6025	0	0		84	66		0	0.24	0.096			
Arroz negro	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/063/6287/front_en.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/063/6287/front_en.3.200.jpg	267	1121	11	6.8		27.6	2.2		14.4	1.4	0.56			15
L.casei fresa platano	hacendado		España				https://images.openfoodfacts.org/images/products/235/096/700/9898/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/096/700/9898/front_es.3.200.jpg	448	1874	38	25		1.4	0.5		25	2	0.8			
Sopa miso 100% vegetal	hacendado		España				https://images.openfoodfacts.org/images/products/235/096/600/3781/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/096/600/3781/front_es.3.200.jpg										0	0			
Cebolla frita	hacendado		España				https://images.openfoodfacts.org/images/products/235/094/400/3505/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/094/400/3505/front_es.3.200.jpg	421	1761	35	25		1.6	0.5		25	1.7	0.68			
Orejones de albaricoque	Hacendado	Mercadona	España		en:e202,en:e300,en:e301,en:e330	4	https://images.openfoodfacts.org/images/products/848/000/003/8524/front_en.31.400.jpg	https://images.openfoodfacts.org/images/products/848/000/003/8524/front_en.31.200.jpg	149	613	13.7	3.8		2	1.4	5	1.9	1.5	0.6			-1
Garbanzos	Hacendado	Mercadona	España	en:nuts	en:e500,en:e500ii	4	https://images.openfoodfacts.org/images/products/848/000/009/5473/front_es.27.400.jpg	https://images.openfoodfacts.org/images/products/848/000/009/5473/front_es.27.200.jpg	461	1936	17	3		69	24	2	6	0	0			10
Mantequilla sin lactosa	Hacendado	Mercadona	España	en:gluten		1	https://images.openfoodfacts.org/images/products/848/000/006/5940/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/5940/front_es.15.200.jpg	347	1469	1.9	0.4		67	3.2	7	12	0.05	0.02			-6
Stevia	Hacendado	Mercadona	España	en:gluten		1	https://images.openfoodfacts.org/images/products/848/000/006/2796/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/2796/front_es.31.200.jpg	354	1501	1.5	0.4		71	3.5	3.2	12.5	0.01	0.004			-4
Champiñones laminados	Hacendado		España	en:sesame-seeds	en:e202,en:e270,en:e330	4	https://images.openfoodfacts.org/images/products/848/000/080/8714/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/080/8714/front_es.4.200.jpg	300	1255	25.5	3.9		8.7	0.1	8	6.4	1	0.4			2
Arroz risotto arborio	Hacendado		es			4	https://images.openfoodfacts.org/images/products/848/000/013/8460/front_es.16.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/8460/front_es.16.200.jpg	50	209	1.6	1.3		9	6.3		0.1	0.08	0.032			2
Queso tierno bajo en sal	Hacendado	Mercadona	España	en:eggs,en:gluten,en:milk	en:e301,en:e401	4	https://images.openfoodfacts.org/images/products/848/000/063/5266/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/063/5266/front_es.21.200.jpg	280	1172	14.3	7.8		27.4	6.1		10.4	1.5	0.6			17
Queso Tierno hacendado	Hacendado	Mercadona	Portugal,España	en:milk,en:nuts	en:e410,en:e412,en:e471	4	https://images.openfoodfacts.org/images/products/848/000/064/4350/front_es.28.400.jpg	https://images.openfoodfacts.org/images/products/848/000/064/4350/front_es.28.200.jpg	268	1121	16	8.4		27	25		3.8	0.14	0.056			16
Bifidus yogur ciruelas pasa	Hacendado	Mercadona	España	en:milk,en:mustard	en:e415,en:e509	4	https://images.openfoodfacts.org/images/products/848/000/017/3478/front_es.48.400.jpg	https://images.openfoodfacts.org/images/products/848/000/017/3478/front_es.48.200.jpg	340	1404	31.6	2.3		11.3	9.8		1.5	1.8	0.72			15
Muesli 50% frutas & frutos secos	Hacendado		es			3	https://images.openfoodfacts.org/images/products/848/000/063/4863/front_es.11.400.jpg	https://images.openfoodfacts.org/images/products/848/000/063/4863/front_es.11.200.jpg	246	1029	8.9	4.8		27	1.8		13.4	1.3	0.52			12
Pan de molde	Hacendado	Mercadona	España	en:gluten			https://images.openfoodfacts.org/images/products/848/000/006/5117/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/5117/front_en.4.200.jpg	349	1478	2.6	0.4		65	4	7	13	0.04	0.016			-6
Yogurt	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/009/1208/front_es.40.400.jpg	https://images.openfoodfacts.org/images/products/848/000/009/1208/front_es.40.200.jpg	343	1457	0.5	0.1		77	0.5		8.4	0.01	0.004			-1
Pastel marmolado	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/006/2819/front_es.30.400.jpg	https://images.openfoodfacts.org/images/products/848/000/006/2819/front_es.30.200.jpg	354	1501	1.5	0.4		71	3.5	3.2	12.5	0.01	0.004			-4
Arroz aromático jazmín	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/051/1935/front_fr.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/051/1935/front_fr.4.200.jpg	161	674	9.9	6.6		5.6	3.2		12.6	1.1	0.44	0.399		7
Arroz vaporizado	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/010/4977/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/4977/front_es.3.200.jpg	34	142	0.3	0.2		4.7	4.7		3.1	0.13	0.052			
Quinoa	Hacendado	Mercadona	España	en:eggs,en:milk	en:e250	4	https://images.openfoodfacts.org/images/products/848/000/052/3075/front_es.16.400.jpg	https://images.openfoodfacts.org/images/products/848/000/052/3075/front_es.16.200.jpg	271	1120	24.3	9.1		1.3	1.3		11.7	1.875	0.75			20
Arroz integral redondo	Hacendado		Spagna,España			4	https://images.openfoodfacts.org/images/products/848/000/063/5808/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/063/5808/front_es.3.200.jpg	267	1117	11	6.8		27.6	2.2		14.4	1.4	0.56			15
Arroz redondo JSendra	Hacendado	Mercadona	España		en:e579	3	https://images.openfoodfacts.org/images/products/848/000/033/1106/front_es.38.400.jpg	https://images.openfoodfacts.org/images/products/848/000/033/1106/front_es.38.200.jpg	152	624	16	2.6		0	0		0.6	2.5	1			13
Digestive avena	Hacendado	Mercadona	España	en:eggs	en:e160c,en:e202,en:e330,en:e385	4	https://images.openfoodfacts.org/images/products/848/000/017/0965/front_es.35.400.jpg	https://images.openfoodfacts.org/images/products/848/000/017/0965/front_es.35.200.jpg	599	2463	65	7.4		2.6	2.5		0.7	1	0.4			18
Yogur sabor galleta	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/3374/front_es.51.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/3374/front_es.51.200.jpg	331	1399	1.39	0.21		60.4	1.5	16.7	27.8	0.06	0.024			-6
Nata montar bater	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/3251/front_es.43.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/3251/front_es.43.200.jpg	320	1355	1.2	0.2		48.1	1.3	9.6	24.5	0.05	0.02			-6
Cigalas crudas	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/3282/front_es.151.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/3282/front_es.151.200.jpg	320	1355	1.2	0.2		48.1	1.3	9.6	24.5	0.05	0.02			-6
Light	Hacendado	Mercadona	España		en:e300,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/005/3329/front_es.38.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/3329/front_es.38.200.jpg	81	343	0.4	0.1		11.2	0.5		5.7	0.8	0.32			1
Atun claro en aceite de girasol	Hacendado	Mercadona	España		en:e300,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0307/front_es.56.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0307/front_es.56.200.jpg	81	343	0.4	0.1		11.2	0.5		5.7	0.8	0.32			1
Cereales chocolate linneav	Hacendado	Mercadona	France,España			1	https://images.openfoodfacts.org/images/products/848/000/005/3305/front_es.18.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/3305/front_es.18.200.jpg	320	1355	1.2	0.2		48.1	1.3	9.6	24.5	0.05	0.02			-6
Vainilla macadamia	Hacendado	Mercadona	España	en:gluten,en:sesame-seeds	en:e170,en:e170i,en:e300,en:e472e	4	https://images.openfoodfacts.org/images/products/848/000/082/4172/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/4172/front_en.4.200.jpg	425	1778	13	1.6		59.8	3.8	6.8	13.8	1.4	0.56			7
Surtido 6 Sabores	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/039/1308/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/1308/front_es.31.200.jpg	54	226	0	0		12.9	12.9		0.6	0.01	0.004			7
Bebida de avellana y arroz	Hacendado	Mercadona	España		en:e296,en:e331,en:e950,en:e955	4	https://images.openfoodfacts.org/images/products/848/000/027/8050/front_es.47.400.jpg	https://images.openfoodfacts.org/images/products/848/000/027/8050/front_es.47.200.jpg	1	4.3	0	0		0.09	0.09	0	0.01	0.05	0.02			2
Margarina	Hacendado	Mercadona	France,España				https://images.openfoodfacts.org/images/products/848/000/005/1196/front_es.36.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/1196/front_es.36.200.jpg	292	1232	1	0.3		40	2.3	18.9	21.4	0.03	0.012			-7
Yogur natural 0%	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/005/1288/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/1288/front_es.15.200.jpg	292	1232	1	0.3		40	2.3	18.9	21.4	0.03	0.012			-7
Natural, Café Molido	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites	en:e223,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0024/front_es.40.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0024/front_es.40.200.jpg	74	311	0.4	0.1		9.9	1.3		5.1	0.8	0.32			0
Rodajas de salmon	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/1066/front_es.95.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/1066/front_es.95.200.jpg	292	1232	1	0.3		40	2.3	18.9	21.4	0.03	0.012			-7
Rodaja de salmón	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/1189/front_es.41.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/1189/front_es.41.200.jpg	292	1232	1	0.3		40	2.3	18.9	21.4	0.03	0.012			-7
Rodaja de salmon	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites,es:Disulfito sódico	en:e223,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0062/front_es.34.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0062/front_es.34.200.jpg	73	309	0.4	0.1		9.4	0.8		5.1	0.6	0.24			-1
Arroz largo	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/1240/front_es.25.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/1240/front_es.25.200.jpg	292	1232	1	0.3		40	2.3	18.9	21.4	0.03	0.012			-7
Arroz cocido	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/015/4088/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/4088/front_es.7.200.jpg		1441	0.1	0.1		82.5	81.7		0.5	0.03	0.012			
Arroz bomba	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/016/8276/front_es.11.400.jpg	https://images.openfoodfacts.org/images/products/848/000/016/8276/front_es.11.200.jpg	38	162	0.1	0		6.8	4.1		1.4	0.9	0.36			3
Atún claro en aceite de girasol	hacendado		España				https://images.openfoodfacts.org/images/products/848/000/050/5460/front_es.37.400.jpg	https://images.openfoodfacts.org/images/products/848/000/050/5460/front_es.37.200.jpg	266	1113	17	12		1.2	0.5		27	1.5	0.6			14
Crema de Cacao	Hacendado	Mercadona,Hacendado	España				https://images.openfoodfacts.org/images/products/848/000/039/2190/front_en.26.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/2190/front_en.26.200.jpg	26	109	0.1	0		5.1	4.5	0.9	0.5	0	0			-3
Sardinillas en aceite de oliva	Hacendado		es		en:e500,en:e965	4	https://images.openfoodfacts.org/images/products/848/000/014/2429/front_es.59.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/2429/front_es.59.200.jpg	422	1766	16	1.3		13	2	8	9	0.9	0.36			-1
Miel de mil flores	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/011/3054/front_es.26.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/3054/front_es.26.200.jpg	1	4	0	0		0.3	0		0	0.3	0.12			2
Cono de nata	Hacendado	Mercadona	España		en:e950,en:e955	4	https://images.openfoodfacts.org/images/products/848/000/010/4304/front_es.37.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/4304/front_es.37.200.jpg	39	164	2.5	0.8		3.5	2.1	0.3	0.6	0.1	0.04			0
Mini Nata	Hacendado	Mercadona	España		en:e1400,en:e250,en:e301	4	https://images.openfoodfacts.org/images/products/848/000/059/0787/front_es.28.400.jpg	https://images.openfoodfacts.org/images/products/848/000/059/0787/front_es.28.200.jpg	515	2155	41	16		4.5	4		32	3.7	1.48			26
Néctar mango	Hacendado	Mercadona	España		en:e262,en:e331,en:e407a,en:e428,en:e451,en:e452,en:e466,en:e621	4	https://images.openfoodfacts.org/images/products/848/000/053/0585/front_es.17.400.jpg	https://images.openfoodfacts.org/images/products/848/000/053/0585/front_es.17.200.jpg	199.7	836	14.03	5.5		1.2	0.5		16.8	1.8	0.72			14
Queso fundido en lonchas burger	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/005/0311/front_es.27.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/0311/front_es.27.200.jpg	125	530	2.2	0.3		19.6	0.7	4.1	4.5	0.3	0.12			-4
Yogurt Natural +proteínas	Hacendado	Mercadona	España		en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0017/front_es.41.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0017/front_es.41.200.jpg	93	391	0.4	0.1		13.1	0.9		6.2	0.8	0.32			1
Leche enriquecida con calcio 100% natural	Hacendado	Mercadona	España		en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0000/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0000/front_es.21.200.jpg	89	375	0.4	0.1		11.5	0.9		6.3	0.8	0.32			1
Máxi tortillas	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites	en:e223,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0284/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0284/front_es.31.200.jpg	83	350	0.4	0.1		10.7	0.8		5.8	0.8	0.32			1
Zamburiñas en salsa de vieira	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites,es:disulfito sódico	en:e223,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0130/front_es.20.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0130/front_es.20.200.jpg	70	292	1.3	0.2		8.1	0.6		4.5	0.7	0.28			1
Nachos padrísimos	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites	en:e223,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0192/front_es.35.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0192/front_es.35.200.jpg	83	350	0.4	0.1		10.7	0.8		5.8	0.8	0.32			1
Super cuquis	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/2193/front_es.13.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/2193/front_es.13.200.jpg	348	1465	6.1	0.4		47.5	6	14.4	18.6	0.07	0.028			-5
Algas con arroz	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/005/2162/front_es.64.400.jpg	https://images.openfoodfacts.org/images/products/848/000/005/2162/front_es.64.200.jpg	348	1465	6.1	0.4		47.5	6	14.4	18.6	0.07	0.028			-5
Palomitas caramelo	Hacendado		es			4	https://images.openfoodfacts.org/images/products/731/706/620/3805/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/731/706/620/3805/front_es.3.200.jpg	420	1750	15	7		67	35		4.5	1.575	0.63			24
Cocktail	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/013/8132/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/8132/front_es.7.200.jpg	479	2004	22	13		63	30		6.3	0.43	0.172			
Varitas	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/015/4385/front_es.22.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/4385/front_es.22.200.jpg	332	1389	0.1	0.1		82.5	81.7		0.5	0	0			
Mini menta	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/07772788/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/07772788/front_es.3.200.jpg														
